ID,name,category,subCategory,supplier,imageUrl,availability,averageRating,price,currency,editingStatus
HT-1000,Notebook Basic 15,Laptops,Basic,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1000.jpg,In Stock,4.2,956.00,USD,Published
HT-1001,Notebook Basic 17,Laptops,Basic,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1001.jpg,In Stock,4.5,1249.00,USD,Published
HT-1002,Notebook Basic 18,Laptops,Basic,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1002.jpg,In Stock,4.2,1570.00,USD,Published
HT-1003,Notebook Basic 19,Laptops,Basic,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1003.jpg,In Stock,4.2,1650.00,USD,Published
HT-1007,ITelO Vault,Storage,Accessories,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1007.jpg,In Stock,4.0,299.00,USD,Published
HT-1010,Notebook Professional 15,Laptops,Professional,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1010.jpg,In Stock,4.3,1999.00,USD,Published
HT-1011,Notebook Professional 17,Laptops,Professional,Very Best Screens,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1011.jpg,In Stock,4.1,2299.00,USD,Published
HT-1020,ITelO Vault Net,Storage,Network,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1020.jpg,In Stock,4.5,459.00,USD,Published
HT-1021,ITelO Vault SAT,Storage,Satellite,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1021.jpg,In Stock,4.1,149.00,USD,Published
HT-1022,Comfort Easy,Accessories,Ergonomic,Ergonomic Solutions,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1022.jpg,In Stock,4.2,279.00,USD,Published
HT-1030,Ergo Screen E-I,Monitors,Ergonomic,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1030.jpg,In Stock,4.2,460.00,USD,Published
HT-1031,Ergo Screen E-II,Monitors,Ergonomic,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1031.jpg,In Stock,4.0,580.00,USD,Published
HT-1032,Ergo Screen E-III,Monitors,Ergonomic,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1032.jpg,In Stock,3.9,650.00,USD,Published
HT-1040,Laser Professional Eco,Printers,Laser,Printer for All,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1040.jpg,In Stock,4.3,830.00,USD,Published
HT-1041,Laser Professional Eco Color,Printers,Laser,Printer for All,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1041.jpg,In Stock,4.2,1330.00,USD,Published
HT-1050,Hurricane GX,Desktops,Gaming,Hurricane,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1050.jpg,In Stock,4.6,1890.00,USD,Published
HT-1051,Hurricane GX Pro,Desktops,Gaming,Hurricane,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1051.jpg,In Stock,4.5,2380.00,USD,Published
HT-1052,Hurricane GX Supreme,Desktops,Gaming,Hurricane,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1052.jpg,In Stock,4.7,3270.00,USD,Published
HT-1060,Webcam,Accessories,Video,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1060.jpg,In Stock,4.0,95.00,USD,Published
HT-1061,Cordless Mouse,Accessories,Input,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1061.jpg,In Stock,4.1,20.00,USD,Published
HT-1062,Optical Mouse,Accessories,Input,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1062.jpg,In Stock,3.8,15.00,USD,Published
HT-1063,Laser Mouse,Accessories,Input,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1063.jpg,In Stock,4.2,25.00,USD,Published
HT-1064,Cordless Optical Mouse,Accessories,Input,Technocom,https://sapui5.hana.ondemand.com/test-resources/sap/ui/documentation/sdk/images/HT-1064.jpg,In Stock,4.0,35.00,USD,Published
